"Downscaling","DeltaStr_yrs","ConcScen","Model","Delta_yrs","itime","id_sim","id_to_dbW"
NA,NA,"CMIP5_historical|CMIP5_RCP85","Current",0,1,"Current","Current"
"idem","historical_1950to2005","historical","bcc-csm1-1",0,2,"idem.historical_1950to2005.historical.bcc-csm1-1","idem.dall.historical.bcc-csm1-1"
"idem","historical_1950to2005","historical","bcc-csm1-1-m",0,2,"idem.historical_1950to2005.historical.bcc-csm1-1-m","idem.dall.historical.bcc-csm1-1-m"
"idem","historical_1950to2005","historical","BNU-ESM",0,2,"idem.historical_1950to2005.historical.BNU-ESM","idem.dall.historical.BNU-ESM"
"idem","historical_1950to2005","historical","CanESM2",0,2,"idem.historical_1950to2005.historical.CanESM2","idem.dall.historical.CanESM2"
"idem","historical_1950to2005","historical","CCSM4",0,2,"idem.historical_1950to2005.historical.CCSM4","idem.dall.historical.CCSM4"
"idem","historical_1950to2005","historical","CNRM-CM5",0,2,"idem.historical_1950to2005.historical.CNRM-CM5","idem.dall.historical.CNRM-CM5"
"idem","historical_1950to2005","historical","CSIRO-Mk3-6-0",0,2,"idem.historical_1950to2005.historical.CSIRO-Mk3-6-0","idem.dall.historical.CSIRO-Mk3-6-0"
"idem","historical_1950to2005","historical","GFDL-ESM2G",0,2,"idem.historical_1950to2005.historical.GFDL-ESM2G","idem.dall.historical.GFDL-ESM2G"
"idem","historical_1950to2005","historical","GFDL-ESM2M",0,2,"idem.historical_1950to2005.historical.GFDL-ESM2M","idem.dall.historical.GFDL-ESM2M"
"idem","historical_1950to2005","historical","HadGEM2-CC365",0,2,"idem.historical_1950to2005.historical.HadGEM2-CC365","idem.dall.historical.HadGEM2-CC365"
"idem","historical_1950to2005","historical","HadGEM2-ES365",0,2,"idem.historical_1950to2005.historical.HadGEM2-ES365","idem.dall.historical.HadGEM2-ES365"
"idem","historical_1950to2005","historical","inmcm4",0,2,"idem.historical_1950to2005.historical.inmcm4","idem.dall.historical.inmcm4"
"idem","historical_1950to2005","historical","IPSL-CM5A-LR",0,2,"idem.historical_1950to2005.historical.IPSL-CM5A-LR","idem.dall.historical.IPSL-CM5A-LR"
"idem","historical_1950to2005","historical","IPSL-CM5A-MR",0,2,"idem.historical_1950to2005.historical.IPSL-CM5A-MR","idem.dall.historical.IPSL-CM5A-MR"
"idem","historical_1950to2005","historical","IPSL-CM5B-LR",0,2,"idem.historical_1950to2005.historical.IPSL-CM5B-LR","idem.dall.historical.IPSL-CM5B-LR"
"idem","historical_1950to2005","historical","MIROC-ESM",0,2,"idem.historical_1950to2005.historical.MIROC-ESM","idem.dall.historical.MIROC-ESM"
"idem","historical_1950to2005","historical","MIROC-ESM-CHEM",0,2,"idem.historical_1950to2005.historical.MIROC-ESM-CHEM","idem.dall.historical.MIROC-ESM-CHEM"
"idem","historical_1950to2005","historical","MIROC5",0,2,"idem.historical_1950to2005.historical.MIROC5","idem.dall.historical.MIROC5"
"idem","historical_1950to2005","historical","MRI-CGCM3",0,2,"idem.historical_1950to2005.historical.MRI-CGCM3","idem.dall.historical.MRI-CGCM3"
"idem","historical_1950to2005","historical","NorESM1-M",0,2,"idem.historical_1950to2005.historical.NorESM1-M","idem.dall.historical.NorESM1-M"
